0,1,2
-15.789343,-47.925755,1148.0
-16.642841,-49.220222,728.0
-17.745066,-49.1017,740.0
-13.309528,-49.117477,366.0
-10.190744,-48.30181,275.0
-12.614893,-47.871918,280.0
-18.969143,-50.63345,486.0
-16.260542,-47.96696,990.0
-15.902658,-52.24517,333.0
-15.939729,-50.141434,533.0
-14.979792,-49.539978,524.0
-17.923622,-51.71747,667.0
-14.08921,-46.366497,792.0
-12.015377,-48.544518,240.0
-11.745782,-49.0497,279.0
-8.968677,-48.177258,186.0
-7.103954,-48.20123,225.0
-15.220278,-48.99,659.0
-16.966944,-51.8175,731.0
-14.133056,-47.523335,1242.0
-17.785303,-50.96487,771.0
-17.454721,-52.601112,848.0
-16.962536,-50.42545,670.0
-16.42306,-51.1488,609.0
-17.336945,-49.914722,604.0
-12.820489,-50.335968,215.0
-13.253521,-46.890327,550.0
-17.304167,-48.28417,757.27
-18.15478,-47.927612,866.0
-18.409761,-49.192062,477.0
-16.784897,-47.612965,1207.0
-16.679787,-48.61817,937.0
-11.594448,-46.84721,719.0
-11.8875,-49.608334,218.0
-10.434441,-45.92194,792.0
-9.576389,-49.72333,186.0
-15.599722,-48.13111,1334.0
-8.154722,-46.639446,399.0
-5.643725,-48.11184,149.0
-15.596491,-47.6258,1042.0
-15.935278,-48.1375,969.0
-16.012222,-47.55742,1045.0
-7.124191,-48.781265,200.0
-8.092708,-48.478603,205.0
-9.793363,-47.132732,308.0
-10.476944,-49.629475,191.0
-11.429018,-48.18489,294.0
-11.284098,-47.212124,503.0
-12.592213,-49.528736,218.0
-10.828286,-49.84788,190.0
-16.399315,-47.625843,933.0
-3.103611,-60.015556,55.0
-9.358334,-69.92639,189.0
-9.957778,-68.165276,207.0
-7.610773,-72.681335,213.0
-6.6502776,-69.868614,121.0
-8.776804,-67.33256,111.0
-7.260681,-64.7885,63.0
-7.55252,-63.071342,54.0
-7.205475,-59.88856,142.0
-4.097483,-63.14532,42.0
-3.294638,-60.628403,26.0
-3.583333,-59.12944,20.0
-3.133333,-58.48278,12.0
-3.39901,-57.67377,21.0
-2.639152,-56.756176,18.0
-2.534749,-57.7581,14.0
-2.633654,-59.600582,114.0
-2.056558,-60.025757,72.0
-0.987292,-62.92425,35.0
-5.788533,-61.288277,39.0
-0.125207,-67.06125,73.0
